# ----------------------------------------
# Reports snapshot
# Account: Ben Dayer-Swan
# Property: https://www.packplannerpro.co.uk/
# ----------------------------------------
#  
# Start date: 20260404
# End date: 20260501
Add to carts,Purchases,Purchase revenue,ARPPU


#  
# Start date: 20260404
# End date: 20260501
Item name,Items added to cart,Items purchased,Item revenue


#  
# Start date: 20260404
# End date: 20260501
Session source / medium,Session key event rate


#  
# Start date: 20260404
# End date: 20260501
Nth day,Items purchased


#  
# Start date: 20260404
# End date: 20260501
First user source / medium,Active users
(direct) / (none),55
google / organic,12
api.scraperforce.com / referral,2
tagassistant.google.com / referral,1

#  
# Start date: 20260404
# End date: 20260501
Session source / medium,Sessions
(direct) / (none),95
google / organic,33
tagassistant.google.com / referral,11
vercel.com / referral,8
api.scraperforce.com / referral,2
tacray.com / referral,1

#  
# Start date: 20260404
# End date: 20260501
Nth day,Total purchasers,First time purchasers


#  
# Start date: 20260404
# End date: 20260501
Nth day,Average purchase revenue per active user
