Date,Clicks,Impressions,CTR,Position
2026-04-04,0,0,,
2026-04-05,1,2,50%,1.5
2026-04-06,1,6,16.67%,59.2
2026-04-07,1,9,11.11%,7.3
2026-04-08,0,3,0%,20
2026-04-09,0,0,,
2026-04-10,0,11,0%,20.5
2026-04-11,0,3,0%,7.3
2026-04-12,0,6,0%,37.3
2026-04-13,0,23,0%,65.8
2026-04-14,1,12,8.33%,11.4
2026-04-15,0,7,0%,11.9
2026-04-16,0,1,0%,10
2026-04-17,1,5,20%,34.6
2026-04-18,1,8,12.5%,36.5
2026-04-19,0,12,0%,19.5
2026-04-20,2,25,8%,45.3
2026-04-21,2,7,28.57%,17.6
2026-04-22,2,9,22.22%,4.1
2026-04-23,0,13,0%,26.7
2026-04-24,0,10,0%,19.1
2026-04-25,0,10,0%,7.5
2026-04-26,0,19,0%,7.6
2026-04-27,1,27,3.7%,31.3
2026-04-28,0,11,0%,23.5
2026-04-29,1,20,5%,8.7
2026-04-30,1,25,4%,15.7
2026-05-01,0,20,0%,15.2
2026-05-02,1,32,3.12%,8.1
2026-05-03,0,44,0%,12.5
2026-05-04,0,36,0%,26.2
2026-05-05,0,14,0%,18.3
2026-05-06,0,11,0%,8.8
2026-05-07,0,6,0%,8
2026-05-08,0,14,0%,11.4
2026-05-09,0,13,0%,7.8
2026-05-10,1,10,10%,19.1
2026-05-11,0,33,0%,38.9
2026-05-12,0,16,0%,12.2
2026-05-13,1,9,11.11%,19.1
2026-05-14,0,14,0%,9.4
2026-05-15,0,7,0%,18.6
2026-05-16,2,12,16.67%,20.2
2026-05-17,1,14,7.14%,24.7
2026-05-18,0,41,0%,55.3
2026-05-19,0,15,0%,33.9
2026-05-20,0,26,0%,29.2
2026-05-21,0,20,0%,21.1
2026-05-22,0,4,0%,10.8
2026-05-23,0,8,0%,29.4
2026-05-24,0,12,0%,16.5
2026-05-25,0,40,0%,61.4
2026-05-26,1,11,9.09%,42.2
2026-05-27,3,15,20%,21.1
2026-05-28,0,12,0%,22.8
2026-05-29,0,14,0%,28.8
2026-05-30,0,19,0%,39.1
2026-05-31,2,21,9.52%,26.4
2026-06-01,1,52,1.92%,46.9
2026-06-02,0,24,0%,35.2
2026-06-03,1,29,3.45%,48.9
2026-06-04,1,16,6.25%,13.6
2026-06-05,0,22,0%,17.1
2026-06-06,0,13,0%,27.4
2026-06-07,0,27,0%,24.8
2026-06-08,0,50,0%,57.2
2026-06-09,1,24,4.17%,18.5
2026-06-10,1,20,5%,17.1
2026-06-11,0,27,0%,20.4
2026-06-12,0,19,0%,24.4
2026-06-13,1,29,3.45%,23.3
2026-06-14,1,24,4.17%,12
2026-06-15,0,36,0%,28.5
2026-06-16,1,28,3.57%,22.8
2026-06-17,0,36,0%,22.7
2026-06-18,0,33,0%,25.1
2026-06-19,0,37,0%,29.2
2026-06-20,0,32,0%,33.8
2026-06-21,2,52,3.85%,20.2
2026-06-22,1,39,2.56%,30.3
2026-06-23,0,42,0%,28.4
2026-06-24,1,33,3.03%,20.2
2026-06-25,1,20,5%,24.2
2026-06-26,0,28,0%,17.3
2026-06-27,0,30,0%,16.9
