Country,Clicks,Impressions,CTR,Position
United Kingdom,38,1215,3.13%,30.4
Netherlands,1,15,6.67%,5.87
Guernsey,1,3,33.33%,3.33
United States,0,220,0%,24.36
Canada,0,17,0%,6.41
China,0,15,0%,9.13
Russia,0,10,0%,25.6
Poland,0,9,0%,7.33
Finland,0,9,0%,8
Iraq,0,9,0%,13.67
Morocco,0,9,0%,15.89
India,0,9,0%,41.44
France,0,8,0%,7.25
Spain,0,8,0%,12.38
Italy,0,7,0%,12.29
Mexico,0,7,0%,16.71
South Africa,0,6,0%,7.83
Vietnam,0,6,0%,11.67
Germany,0,6,0%,15.33
New Zealand,0,4,0%,7
Turkey,0,4,0%,7
Taiwan,0,4,0%,7.75
Argentina,0,4,0%,8
Australia,0,4,0%,8
Egypt,0,3,0%,6.33
Singapore,0,3,0%,8
Brazil,0,3,0%,22.33
Saudi Arabia,0,2,0%,2
Romania,0,2,0%,3.5
Hungary,0,2,0%,4.5
South Korea,0,2,0%,5.5
Pakistan,0,2,0%,6
Portugal,0,2,0%,6.5
Ireland,0,2,0%,8
Costa Rica,0,2,0%,8.5
Israel,0,2,0%,9.5
Norway,0,2,0%,11
Sweden,0,2,0%,28
Bolivia,0,1,0%,1
Greece,0,1,0%,3
Isle of Man,0,1,0%,3
Uruguay,0,1,0%,3
Austria,0,1,0%,4
Hong Kong,0,1,0%,7
Belarus,0,1,0%,8
Lithuania,0,1,0%,8
Ethiopia,0,1,0%,10
Ghana,0,1,0%,10
Sri Lanka,0,1,0%,10
Paraguay,0,1,0%,10
Thailand,0,1,0%,10
Bangladesh,0,1,0%,11
Ecuador,0,1,0%,11
Japan,0,1,0%,11
Nigeria,0,1,0%,11
Ukraine,0,1,0%,11
Indonesia,0,1,0%,12
Kazakhstan,0,1,0%,12
Azerbaijan,0,1,0%,14
Algeria,0,1,0%,14
El Salvador,0,1,0%,14
Tunisia,0,1,0%,18
Jordan,0,1,0%,28
Venezuela,0,1,0%,36
Lebanon,0,1,0%,43
Gibraltar,0,1,0%,45
Albania,0,1,0%,49
Belgium,0,1,0%,50
